state,county,current_votes,trump_votes,percent_trump_votes
Kansas,Pottawatomie County,12815,9247,72.16%
Kansas,Pratt County,4107,3087,75.16%
Kansas,Rawlins County,1496,1253,83.76%
Kansas,Reno County,27245,17948,65.88%
Kansas,Republic County,2643,2172,82.18%
Kansas,Rice County,4230,3187,75.34%
Kansas,Riley County,23855,11174,46.84%
Kansas,Rooks County,2661,2294,86.21%
Kansas,Rush County,1748,1425,81.52%
Kansas,Russell County,3429,2765,80.64%
Kansas,Saline County,23911,15313,64.04%
Kansas,Scott County,2322,1991,85.75%
Kansas,Sedgwick County,213552,117653,55.09%
Kansas,Seward County,5099,3285,64.42%
Kansas,Shawnee County,86122,40443,46.96%
Kansas,Sheridan County,1397,1237,88.55%
Kansas,Sherman County,2673,2222,83.13%
Kansas,Smith County,2092,1734,82.89%
Kansas,Stafford County,2017,1631,80.86%
Kansas,Stanton County,767,607,79.14%
Kansas,Stevens County,1997,1731,86.68%
Kansas,Sumner County,10779,7998,74.20%
Kansas,Thomas County,3794,3106,81.87%
Kansas,Trego County,1603,1341,83.66%
Kansas,Wabaunsee County,3861,2813,72.86%
Kansas,Wallace County,817,762,93.27%
Kansas,Washington County,2843,2332,82.03%
Kansas,Wichita County,961,803,83.56%
Kansas,Wilson County,3899,3111,79.79%
Kansas,Woodson County,1495,1189,79.53%
Kansas,Wyandotte County,55107,18512,33.59%
Kentucky,Adair County,8768,7276,82.98%
Kentucky,Allen County,9364,7587,81.02%
Kentucky,Anderson County,13254,9661,72.89%
Kentucky,Ballard County,4225,3356,79.43%
Kentucky,Barren County,20064,14654,73.04%
Kentucky,Bath County,5627,3986,70.84%
Kentucky,Bell County,10044,8140,81.04%
Kentucky,Boone County,66998,44814,66.89%
Kentucky,Bourbon County,9648,6190,64.16%
Kentucky,Boyd County,21751,14295,65.72%
Kentucky,Boyle County,14478,8872,61.28%
Kentucky,Bracken County,4246,3398,80.03%
Kentucky,Breathitt County,5661,4265,75.34%
Kentucky,Breckinridge County,10201,7701,75.49%
Kentucky,Bullitt County,41998,30708,73.12%
Kentucky,Butler County,6125,4960,80.98%
Kentucky,Caldwell County,6434,4906,76.25%
Kentucky,Calloway County,17457,11352,65.03%
Kentucky,Campbell County,48878,28482,58.27%
Kentucky,Carlisle County,2638,2159,81.84%
Kentucky,Carroll County,4136,2954,71.42%
Kentucky,Carter County,11586,8775,75.74%
Kentucky,Casey County,7171,6179,86.17%
Kentucky,Christian County,23863,15080,63.19%
Kentucky,Clark County,18139,11811,65.11%
Kentucky,Clay County,7591,6677,87.96%
Kentucky,Clinton County,4932,4280,86.78%
Kentucky,Crittenden County,4242,3451,81.35%
Kentucky,Cumberland County,3309,2769,83.68%
Kentucky,Daviess County,49287,31025,62.95%
Kentucky,Edmonson County,6132,4828,78.73%
Kentucky,Elliott County,2995,2246,74.99%
Kentucky,Estill County,6540,5100,77.98%
Kentucky,Fayette County,152912,58860,38.49%
Kentucky,Fleming County,7068,5534,78.30%
Kentucky,Floyd County,16353,12250,74.91%
Kentucky,Franklin County,26072,12900,49.48%
Kentucky,Fulton County,2426,1606,66.20%
Kentucky,Gallatin County,3849,2955,76.77%
Kentucky,Garrard County,8706,6754,77.58%
Kentucky,Grant County,11108,8725,78.55%
Kentucky,Graves County,17019,13206,77.60%
Kentucky,Grayson County,11985,9453,78.87%
Kentucky,Green County,5812,4838,83.24%
Kentucky,Greenup County,18176,13064,71.88%
Kentucky,Hancock County,4587,3145,68.56%
Kentucky,Hardin County,48941,29832,60.96%
Kentucky,Harlan County,10971,9367,85.38%
Kentucky,Harrison County,8859,6334,71.50%
Kentucky,Hart County,8370,6345,75.81%
Kentucky,Henderson County,20697,12730,61.51%
Kentucky,Henry County,8110,5843,72.05%
Kentucky,Hickman County,2199,1714,77.94%
Kentucky,Hopkins County,21512,15757,73.25%
Kentucky,Jackson County,6113,5453,89.20%
Kentucky,Jefferson County,386629,150646,38.96%
Kentucky,Jessamine County,26280,17096,65.05%
Kentucky,Johnson County,10192,8450,82.91%
Kentucky,Kenton County,82198,48129,58.55%
Kentucky,Knott County,6252,4780,76.46%
Kentucky,Knox County,13273,11012,82.97%
Kentucky,Larue County,7301,5685,77.87%
Kentucky,Laurel County,28111,23237,82.66%
Kentucky,Lawrence County,6955,5633,80.99%
Kentucky,Lee County,2801,2273,81.15%
Kentucky,Leslie County,4813,4321,89.78%
Kentucky,Letcher County,9135,7226,79.10%
Kentucky,Lewis County,5883,4986,84.75%
Kentucky,Lincoln County,10914,8489,77.78%
Kentucky,Livingston County,5004,4010,80.14%
Kentucky,Logan County,12350,9067,73.42%
Kentucky,Lyon County,4228,3100,73.32%
Kentucky,McCracken County,33549,21820,65.04%
Kentucky,McCreary County,6438,5664,87.98%
Kentucky,McLean County,4782,3633,75.97%
Kentucky,Madison County,43957,27356,62.23%
Kentucky,Magoffin County,5447,4174,76.63%
Kentucky,Marion County,8928,6113,68.47%
Kentucky,Marshall County,17603,13297,75.54%
Kentucky,Martin County,3936,3496,88.82%
Kentucky,Mason County,7958,5477,68.82%
Kentucky,Meade County,14113,10185,72.17%
Kentucky,Menifee County,3102,2311,74.50%
Kentucky,Mercer County,11735,8506,72.48%
Kentucky,Metcalfe County,5012,3959,78.99%
Kentucky,Monroe County,5330,4628,86.83%
Kentucky,Montgomery County,12842,8993,70.03%
Kentucky,Morgan County,5544,4301,77.58%
Kentucky,Muhlenberg County,14235,10497,73.74%
Kentucky,Nelson County,23256,15703,67.52%
Kentucky,Nicholas County,3396,2408,70.91%
Kentucky,Ohio County,11129,8582,77.11%
Kentucky,Oldham County,37976,22654,59.65%
Kentucky,Owen County,5458,4292,78.64%
Kentucky,Owsley County,1896,1671,88.13%
Kentucky,Pendleton County,6925,5515,79.64%
Kentucky,Perry County,10626,8129,76.50%
Kentucky,Pike County,25395,20284,79.87%
Kentucky,Powell County,5505,4041,73.41%
Kentucky,Pulaski County,31557,25442,80.62%
Kentucky,Robertson County,1146,884,77.14%
Kentucky,Rockcastle County,7784,6577,84.49%
Kentucky,Rowan County,10065,5994,59.55%
Kentucky,Russell County,8955,7519,83.96%
Kentucky,Scott County,28969,17767,61.33%
Kentucky,Shelby County,23550,15055,63.93%
Kentucky,Simpson County,8732,5888,67.43%
Kentucky,Spencer County,11433,8737,76.42%
Kentucky,Taylor County,12517,9376,74.91%
Kentucky,Todd County,5363,4062,75.74%
Kentucky,Trigg County,7376,5487,74.39%
Kentucky,Trimble County,4320,3227,74.70%
Kentucky,Union County,6577,4965,75.49%
Kentucky,Warren County,55401,31791,57.38%
Kentucky,Washington County,6225,4482,72.00%
Kentucky,Wayne County,9240,7430,80.41%
Kentucky,Webster County,5993,4506,75.19%
Kentucky,Whitley County,15356,12567,81.84%
Kentucky,Wolfe County,2979,2097,70.39%
Kentucky,Woodford County,15211,8362,54.97%
Louisiana,Acadia Parish,28425,22596,79.49%
Louisiana,Allen Parish,9810,7574,77.21%
Louisiana,Ascension Parish,62325,40687,65.28%
Louisiana,Assumption Parish,11235,7271,64.72%
Louisiana,Avoyelles Parish,17292,12028,69.56%
Louisiana,Beauregard Parish,16357,13575,82.99%
Louisiana,Bienville Parish,7050,3891,55.19%
Louisiana,Bossier Parish,54655,38074,69.66%
Louisiana,Caddo Parish,104912,48021,45.77%
Louisiana,Calcasieu Parish,82663,55066,66.62%
Louisiana,Caldwell Parish,4762,3976,83.49%
Louisiana,Cameron Parish,4039,3671,90.89%
Louisiana,Catahoula Parish,4858,3541,72.89%
Louisiana,Claiborne Parish,6580,3770,57.29%
Louisiana,Concordia Parish,8828,5550,62.87%
Louisiana,De Soto Parish,14736,9112,61.83%
Louisiana,East Baton Rouge Parish,208182,88420,42.47%
Louisiana,East Carroll Parish,3036,1080,35.57%
Louisiana,East Feliciana Parish,10509,6064,57.70%
Louisiana,Evangeline Parish,15412,11053,71.72%
Louisiana,Franklin Parish,9720,6970,71.71%
Louisiana,Grant Parish,9392,8117,86.42%
Louisiana,Iberia Parish,32713,21251,64.96%
Louisiana,Iberville Parish,16719,7893,47.21%
Louisiana,Jackson Parish,7632,5394,70.68%
Louisiana,Jefferson Parish,193733,105949,54.69%
Louisiana,Jefferson Davis Parish,14841,11423,76.97%
Louisiana,Lafayette Parish,114521,72519,63.32%
Louisiana,Lafourche Parish,45388,36024,79.37%
Louisiana,LaSalle Parish,7077,6378,90.12%
Louisiana,Lincoln Parish,19275,11311,58.68%
Louisiana,Livingston Parish,65230,54877,84.13%
Louisiana,Madison Parish,4670,1930,41.33%
Louisiana,Morehouse Parish,11574,6510,56.25%
Louisiana,Natchitoches Parish,16554,9358,56.53%
Louisiana,Orleans Parish,177819,26664,15.00%
Louisiana,Ouachita Parish,69166,42255,61.09%
Louisiana,Plaquemines Parish,11014,7412,67.30%
Louisiana,Pointe Coupee Parish,12371,7503,60.65%
Louisiana,Rapides Parish,58865,38347,65.14%
Louisiana,Red River Parish,4132,2413,58.40%
Louisiana,Richland Parish,9940,6607,66.47%
Louisiana,Sabine Parish,10596,8776,82.82%
Louisiana,St. Bernard Parish,17650,11179,63.34%
Louisiana,St. Charles Parish,28517,18233,63.94%
Louisiana,St. Helena Parish,6158,2714,44.07%
Louisiana,St. James Parish,12590,5954,47.29%
Louisiana,St. John the Baptist Parish,21432,7538,35.17%
Louisiana,St. Landry Parish,41154,23171,56.30%
Louisiana,St. Martin Parish,27038,18203,67.32%
Louisiana,St. Mary Parish,23186,14811,63.88%
Louisiana,St. Tammany Parish,140110,99666,71.13%
Louisiana,Tangipahoa Parish,57661,37806,65.57%
Louisiana,Tensas Parish,2554,1197,46.87%
Louisiana,Terrebonne Parish,46240,34339,74.26%
Louisiana,Union Parish,11201,8407,75.06%
Louisiana,Vermilion Parish,27324,21930,80.26%
Louisiana,Vernon Parish,17268,14107,81.69%
Louisiana,Washington Parish,19513,13307,68.20%
Louisiana,Webster Parish,18216,11830,64.94%
Louisiana,West Baton Rouge Parish,14097,7684,54.51%
Louisiana,West Carroll Parish,5052,4317,85.45%
Louisiana,West Feliciana Parish,6268,3863,61.63%
Louisiana,Winn Parish,6225,4619,74.20%
Maine,Aroostook Cty Townships,292,150,51.37%
Maine,Franklin Cty Townships,52,17,32.69%
Maine,Hancock Cty Townships,13,7,53.85%
Maine,Oxford Cty Townships,333,159,47.75%
Maine,Penobscot Cty Townships,506,348,68.77%
Maine,Piscataquis Cty Townshps,87,61,70.11%
Maine,Somerset Cty Townships,243,173,71.19%
Maine,Washington Cty Townships,30,21,70.00%
Maine,Indian Township Vtng Dst,263,69,26.24%
Maine,Oxbow Plt.,35,22,62.86%
Maine,Pleasant Point Votng Dst,235,35,14.89%
Maine,Auburn,12285,5409,44.03%
Maine,Durham,2790,1333,47.78%
Maine,Greene,2640,1663,62.99%
Maine,Leeds,1362,818,60.06%
Maine,Lewiston,17388,7232,41.59%
Maine,Lisbon,5243,2853,54.42%
Maine,Livermore,1394,783,56.17%
Maine,Livermore Falls,1393,809,58.08%
Maine,Mechanic Falls,1703,989,58.07%
Maine,Minot,1769,1040,58.79%
Maine,Poland,3519,1906,54.16%
Maine,Sabattus,2878,1765,61.33%
Maine,Turner,3428,2052,59.86%
Maine,Wales,915,616,67.32%
Maine,Allagash,169,95,56.21%
Maine,Amity,124,96,77.42%
Maine,Ashland,615,376,61.14%
Maine,Blaine,400,298,74.50%
Maine,Bridgewater,292,214,73.29%
Maine,Caribou,4024,2262,56.21%
Maine,Cary Plt.,0,0,#DIV/0!
Maine,Castle Hill,230,130,56.52%
Maine,Caswell,134,73,54.48%
Maine,Chapman,279,177,63.44%
Maine,Crystal,164,120,73.17%
Maine,Cyr Plt.,56,30,53.57%
Maine,Dyer Brook,150,106,70.67%
Maine,Eagle Lake,460,256,55.65%
Maine,Easton,715,467,65.31%
Maine,Fort Fairfield,1701,985,57.91%
Maine,Fort Kent,2266,1141,50.35%
Maine,Frenchville,603,361,59.87%
Maine,Garfield Plt.,56,42,75.00%
Maine,Glenwood Plt.,1,1,100.00%
Maine,Grand Isle,232,119,51.29%
Maine,Hamlin,109,61,55.96%
Maine,Hammond,46,34,73.91%
Maine,Haynesville,63,50,79.37%
Maine,Hersey,42,0,0.00%
Maine,Hodgdon,812,613,75.49%
Maine,Houlton,2740,1639,59.82%
Maine,Island Falls,450,306,68.00%
Maine,Limestone,765,423,55.29%
Maine,Linneus,508,411,80.91%
Maine,Littleton,531,381,71.75%
Maine,Ludlow,255,169,66.27%
Maine,Macwahoc Plt.,43,30,69.77%
Maine,Madawaska,2112,940,44.51%
Maine,Mapleton,1159,726,62.64%
Maine,Mars Hill,742,511,68.87%
Maine,Masardis,122,85,69.67%
Maine,Merrill,136,91,66.91%
Maine,Monticello,434,335,77.19%
Maine,Moro Plt.,29,27,93.10%
Maine,Nashville Plt.,23,16,69.57%
Maine,New Canada,159,93,58.49%
Maine,New Limerick,372,253,68.01%
Maine,New Sweden,322,178,55.28%
Maine,Oakfield,408,286,70.10%
Maine,Orient,90,68,75.56%
Maine,Penobscot Nation Vot Dst,302,54,17.88%
Maine,Perham,214,146,68.22%
Maine,Portage Lake,265,160,60.38%
Maine,Presque Isle,4239,2266,53.46%
Maine,Reed Plt.,81,58,71.60%
Maine,Saint Agatha,637,334,52.43%
Maine,St. Francis,245,121,49.39%
Maine,St. John Plt.,171,104,60.82%
Maine,Sherman,665,497,74.74%
Maine,Smyrna,157,111,70.70%
Maine,Stockholm,160,86,53.75%
Maine,Van Buren,898,415,46.21%
Maine,Wade,142,79,55.63%
Maine,Wallagrass,291,134,46.05%
Maine,Washburn,820,518,63.17%
Maine,Westfield,267,174,65.17%
Maine,Westmanland,55,24,43.64%
Maine,Weston,182,125,68.68%
Maine,Winterville Plt.,125,72,57.60%
Maine,Woodland,662,409,61.78%
Maine,Baldwin,999,623,62.36%
Maine,Bridgton,3268,1528,46.76%
Maine,Brunswick,13892,3733,26.87%
Maine,Cape Elizabeth,6939,1462,21.07%
Maine,Casco,2296,1184,51.57%
Maine,Chebeague Island,330,66,20.00%
Maine,Cumberland,6002,1800,29.99%
Maine,Falmouth,9031,2672,29.59%
Maine,Freeport,6184,1675,27.09%
Maine,Frye Island,57,19,33.33%
Maine,Gorham,11115,4275,38.46%
Maine,Gray,5390,2557,47.44%
Maine,Harpswell,3884,1423,36.64%
Maine,Harrison,1574,796,50.57%
Maine,Long Island,191,53,27.75%
Maine,Naples,2495,1389,55.67%
Maine,New Gloucester,3599,1757,48.82%
Maine,North Yarmouth,2960,1018,34.39%
Maine,Portland,41544,6486,15.61%
Maine,Pownal,1206,489,40.55%
Maine,Raymond,3142,1472,46.85%
Maine,Scarborough,15057,5217,34.65%
Maine,Sebago,1277,719,56.30%
Maine,South Portland,16286,3783,23.23%
Maine,Standish,6060,3078,50.79%
Maine,Westbrook,11187,3591,32.10%
Maine,Windham,11442,5280,46.15%
Maine,Yarmouth,6358,1439,22.63%
Maine,Avon,263,164,62.36%
Maine,Carrabassett Valley,527,164,31.12%
Maine,Carthage,312,214,68.59%
Maine,Chesterville,799,460,57.57%
Maine,Coplin Plt.,110,44,40.00%
Maine,Dallas Plt.,209,104,49.76%
Maine,Eustis,447,255,57.05%
Maine,Farmington,3906,1541,39.45%
Maine,Industry,504,253,50.20%
Maine,Jay,2665,1375,51.59%
Maine,Kingfield,888,444,50.00%
Maine,New Sharon,956,528,55.23%
Maine,New Vineyard,463,293,63.28%
Maine,Phillips,656,385,58.69%
Maine,Rangeley,758,449,59.23%
Maine,Rangeley Plt.,145,86,59.31%
Maine,Sandy River Plt.,102,36,35.29%
Maine,Strong,816,526,64.46%
Maine,Temple,336,155,46.13%
Maine,Weld,299,144,48.16%
Maine,Wilton,2177,1117,51.31%
Maine,Amherst,189,115,60.85%
Maine,Aurora,72,42,58.33%
Maine,Bar Harbor,3576,804,22.48%
Maine,Blue Hill,1977,624,31.56%
Maine,Brooklin,624,189,30.29%
Maine,Brooksville,686,219,31.92%
Maine,Bucksport,2855,1481,51.87%
Maine,Castine,499,136,27.25%
Maine,Cranberry Isles,138,36,26.09%
Maine,Dedham,1167,582,49.87%
Maine,Deer Isle,1323,496,37.49%
Maine,Eastbrook,222,148,66.67%
Maine,Ellsworth,4824,2359,48.90%
Maine,Franklin,861,459,53.31%
Maine,Frenchboro,31,19,61.29%
Maine,Gouldsboro,1116,612,54.84%
Maine,Great Pond,43,25,58.14%
Maine,Hancock,1472,778,52.85%
Maine,Lamoine,1211,576,47.56%
Maine,Mariaville,310,191,61.61%
Maine,Mount Desert,1490,381,25.57%
Maine,Orland,1424,693,48.67%
Maine,Osborn,44,31,70.45%
Maine,Otis,484,323,66.74%
Maine,Penobscot,845,306,36.21%
Maine,Sedgwick,843,321,38.08%
Maine,Sorrento,189,94,49.74%
Maine,Southwest Harbor,1137,381,33.51%
Maine,Stonington,640,220,34.38%
Maine,Sullivan,724,348,48.07%
Maine,Surry,1091,464,42.53%
Maine,Swan's Island,266,129,48.50%
Maine,Tremont,1043,422,40.46%
Maine,Trenton,987,451,45.69%
Maine,Verona,350,182,52.00%
Maine,Waltham,230,159,69.13%
Maine,Winter Harbor,329,179,54.41%
Maine,Albion,1219,801,65.71%
Maine,Augusta,9738,4155,42.67%
Maine,Belgrade,2216,1166,52.62%
Maine,Benton,1632,984,60.29%
Maine,Chelsea,1563,917,58.67%
Maine,China,2590,1395,53.86%
Maine,Clinton,1788,1098,61.41%
Maine,Farmingdale,1738,768,44.19%
Maine,Fayette,830,421,50.72%
Maine,Gardiner,3278,1471,44.87%
Maine,Hallowell,1780,445,25.00%
Maine,Litchfield,2177,1260,57.88%
Maine,Manchester,1690,810,47.93%
Maine,Monmouth,2578,1397,54.19%
Maine,Mount Vernon,1158,560,48.36%
Maine,Oakland,3628,1853,51.07%
Maine,Pittston,1778,1034,58.16%
Maine,Randolph,1029,533,51.80%
Maine,Readfield,1820,818,44.95%
Maine,Rome,713,350,49.09%
Maine,Sidney,2954,1688,57.14%
Maine,Unity,950,455,47.89%
Maine,Vassalboro,2553,1394,54.60%
Maine,Vienna,405,208,51.36%
Maine,Waterville,7905,2627,33.23%
Maine,Wayne,869,343,39.47%
Maine,West Gardiner,2380,1317,55.34%
Maine,Windsor,1433,899,62.74%
Maine,Winslow,4679,2360,50.44%
Maine,Winthrop,3737,1649,44.13%
Maine,Appleton,915,407,44.48%
Maine,Camden,3837,832,21.68%
Maine,Cushing,960,520,54.17%
Maine,Friendship,799,477,59.70%
Maine,Hope,1117,443,39.66%
Maine,Isle Au Haut,66,9,13.64%
Maine,Matinicus Isle Plt.,50,14,28.00%
Maine,North Haven,321,85,26.48%
Maine,Owl's Head,1065,454,42.63%
Maine,Rockland,3965,1363,34.38%
Maine,Rockport,2530,776,30.67%
Maine,St. George,1814,663,36.55%
Maine,South Thomaston,997,403,40.42%
Maine,Thomaston,1668,664,39.81%
Maine,Union,1561,786,50.35%
Maine,Vinalhaven,837,287,34.29%
Maine,Warren,2244,1259,56.11%
Maine,Washington,988,540,54.66%
Maine,Alna,517,174,33.66%
Maine,Boothbay,2208,922,41.76%
Maine,Boothbay Harbor,1395,545,39.07%
Maine,Bremen,563,185,32.86%
Maine,Bristol,2124,808,38.04%
Maine,Damariscotta,1476,463,31.37%
Maine,Dresden,1159,580,50.04%
Maine,Edgecomb,889,348,39.15%
Maine,Jefferson,1691,951,56.24%
Maine,Monhegan Plt.,62,7,11.29%
Maine,Newcastle,1359,403,29.65%
Maine,Nobleboro,1310,559,42.67%
Maine,Somerville,357,213,59.66%
Maine,South Bristol,716,261,36.45%
Maine,Southport,491,173,35.23%
Maine,Waldoboro,2934,1568,53.44%
Maine,Westport,551,231,41.92%
Maine,Whitefield,1479,753,50.91%
Maine,Wiscasset,2313,1112,48.08%
Maine,Andover,538,293,54.46%
Maine,Bethel,1830,749,40.93%
Maine,Brownfield,957,466,48.69%
Maine,Buckfield,1098,636,57.92%
Maine,Byron,92,58,63.04%
Maine,Canton,544,374,68.75%
Maine,Denmark,827,392,47.40%
Maine,Dixfield,1302,803,61.67%
Maine,Fryeburg,1937,813,41.97%
Maine,Gilead,123,66,53.66%
Maine,Greenwood,533,242,45.40%
Maine,Hanover,198,92,46.46%
Maine,Hartford,724,428,59.12%
Maine,Hebron,778,427,54.88%
Maine,Hiram,928,528,56.90%
Maine,Lincoln Plt.,32,20,62.50%
Maine,Lovell,766,353,46.08%
Maine,Magalloway Plt.,16,10,62.50%
Maine,Mexico,1271,676,53.19%
Maine,Newry,289,119,41.18%
Maine,Norway,2854,1363,47.76%
Maine,Otisfield,1171,605,51.67%
Maine,Oxford,2325,1456,62.62%
Maine,Paris,2855,1494,52.33%
Maine,Peru,909,561,61.72%
Maine,Porter,875,521,59.54%
Maine,Roxbury,246,147,59.76%
Maine,Rumford,2863,1502,52.46%
Maine,Stoneham,185,102,55.14%
Maine,Stow,253,121,47.83%
Maine,Sumner,553,324,58.59%
Maine,Sweden,283,108,38.16%
Maine,Upton,64,47,73.44%
Maine,Waterford,1038,557,53.66%
Maine,West Paris,957,552,57.68%
Maine,Woodstock,945,534,56.51%
Maine,Alton,476,293,61.55%
Maine,Bangor,16173,6065,37.50%
Maine,Bradford,694,485,69.88%
Maine,Bradley,887,485,54.68%
Maine,Brewer,5278,2568,48.65%
Maine,Burlington,206,145,70.39%
Maine,Carmel,1782,1183,66.39%
Maine,Carroll Plt.,87,73,83.91%
Maine,Charleston,753,580,77.03%
Maine,Chester,326,261,80.06%
Maine,Clifton,532,324,60.90%
Maine,Corinna,1244,847,68.09%
Maine,Corinth,1574,1147,72.87%
Maine,Dexter,1841,1169,63.50%
Maine,Dixmont,731,446,61.01%
Maine,Drew Plt.,19,13,68.42%
Maine,East Millinocket,953,567,59.50%
Maine,Eddington,1456,903,62.02%
Maine,Edinburg,105,66,62.86%
Maine,Enfield,879,585,66.55%
Maine,Etna,726,495,68.18%
Maine,Exeter,571,366,64.10%
Maine,Garland,605,409,67.60%
Maine,Glenburn,2789,1612,57.80%
Maine,Greenbush,717,499,69.60%
Maine,Hampden,4878,2265,46.43%
Maine,Hermon,3965,2427,61.21%
Maine,Holden,2125,1200,56.47%
Maine,Howland,643,390,60.65%
Maine,Hudson,611,484,79.21%
Maine,Kenduskeag,770,514,66.75%
Maine,LaGrange,358,248,69.27%
Maine,Lakeville,69,38,55.07%
Maine,Lee,508,350,68.90%
Maine,Levant,1665,1149,69.01%
Maine,Lincoln,2596,1723,66.37%
Maine,Lowell,255,193,75.69%
Maine,Mattawamkeag,388,257,66.24%
Maine,Maxfield,69,48,69.57%
Maine,Medway,758,550,72.56%
Maine,Milford,1851,922,49.81%
Maine,Millinocket,2397,1310,54.65%
Maine,Mount Chase,122,81,66.39%
Maine,Newburgh,994,599,60.26%
Maine,Newport,1741,1118,64.22%
Maine,Old Town,4259,1668,39.16%
Maine,Orono,5200,1200,23.08%
Maine,Orrington,2562,1405,54.84%
Maine,Passadumkeag,224,165,73.66%
Maine,Patten,520,362,69.62%
Maine,Plymouth,745,505,67.79%
Maine,Seboeis Plt.,41,19,46.34%
Maine,Springfield,161,135,83.85%
Maine,Stacyville,209,169,80.86%
Maine,Stetson,765,524,68.50%
Maine,Veazie,1223,525,42.93%
Maine,Webster Plt.,42,33,78.57%
Maine,Winn,207,145,70.05%
Maine,Woodville,136,116,85.29%
Maine,Abbot,417,288,69.06%
Maine,Atkinson,173,122,70.52%
Maine,Beaver Cove,119,60,50.42%
Maine,Bowerbank,117,76,64.96%
Maine,Brownville,780,467,59.87%
Maine,Dover-Foxcroft,2335,1356,58.07%
Maine,Greenville,1158,644,55.61%
Maine,Guilford,728,466,64.01%
Maine,Kingsbury Plt.,0,0,#DIV/0!
Maine,Lake View Plt.,114,71,62.28%
Maine,Medford,164,112,68.29%
Maine,Milo,1227,781,63.65%
Maine,Monson,475,289,60.84%
Maine,Parkman,491,333,67.82%
Maine,Sangerville,753,479,63.61%
Maine,Sebec,428,305,71.26%
Maine,Shirley,133,96,72.18%
Maine,Wellington,119,67,56.30%
Maine,Willimantic,90,70,77.78%
Maine,Arrowsic,373,104,27.88%
Maine,Bath,5142,1540,29.95%
Maine,Bowdoin,1877,1079,57.49%
Maine,Bowdoinham,2067,856,41.41%
Maine,Georgetown,839,294,35.04%
Maine,Phippsburg,1570,745,47.45%
Maine,Richmond,2076,1056,50.87%
Maine,Topsham,6552,2390,36.48%
Maine,West Bath,1392,629,45.19%
Maine,Woolwich,2150,1062,49.40%
Maine,Anson,1223,796,65.09%
Maine,Athens,510,332,65.10%
Maine,Bingham,580,349,60.17%
Maine,Brighton Plt.,49,29,59.18%
Maine,Cambridge,252,176,69.84%
Maine,Canaan,1155,749,64.85%
Maine,Caratunk,61,36,59.02%
Maine,Cornville,776,471,60.70%
Maine,Dennistown Plt.,24,19,79.17%
Maine,Detroit,436,276,63.30%
Maine,Embden,565,374,66.19%
Maine,Fairfield,3391,1845,54.41%
Maine,Harmony,488,326,66.80%
Maine,Hartland,899,610,67.85%
Maine,Highland Plt.,116,71,61.21%
Maine,Jackman,535,387,72.34%
Maine,Madison,2382,1411,59.24%
Maine,Mercer,481,283,58.84%
Maine,Moose River,124,107,86.29%
Maine,Moscow,279,199,71.33%
Maine,New Portland,481,266,55.30%
Maine,Norridgewock,1874,1128,60.19%
Maine,Palmyra,1155,800,69.26%
Maine,Pittsfield,2042,1156,56.61%
Maine,Pleasant Ridge Plt.,53,40,75.47%
Maine,Ripley,299,195,65.22%
Maine,St. Albans,1186,833,70.24%
Maine,Skowhegan,4197,2215,52.78%
Maine,Smithfield,627,342,54.55%
Maine,Solon,623,365,58.59%
Maine,Starks,381,237,62.20%
Maine,The Forks Plt.,38,18,47.37%
Maine,West Forks Plt.,53,30,56.60%
Maine,Belfast,4237,1259,29.71%
Maine,Belmont,598,319,53.34%
Maine,Brooks,593,317,53.46%
Maine,Burnham,644,389,60.40%
Maine,Frankfort,680,441,64.85%
Maine,Freedom,469,236,50.32%
Maine,Islesboro,445,120,26.97%
Maine,Jackson,338,191,56.51%
Maine,Knox,475,315,66.32%
Maine,Liberty,591,308,52.12%
Maine,Lincolnville,1654,551,33.31%
Maine,Monroe,602,266,44.19%
Maine,Montville,650,266,40.92%
Maine,Morrill,611,355,58.10%
Maine,Northport,1109,408,36.79%
Maine,Palermo,939,537,57.19%
Maine,Prospect,423,242,57.21%
Maine,Searsmont,937,481,51.33%
Maine,Searsport,1608,721,44.84%
Maine,Stockton Springs,1065,508,47.70%
Maine,Swanville,826,454,54.96%
Maine,Thorndike,446,211,47.31%
Maine,Troy,593,340,57.34%
Maine,Waldo,502,261,51.99%
Maine,Winterport,2335,1245,53.32%
Maine,Addison,706,451,63.88%
Maine,Alexander,308,224,72.73%
Maine,Baileyville,673,421,62.56%
Maine,Baring Plt.,112,68,60.71%
Maine,Beals,293,191,65.19%
Maine,Beddington,51,36,70.59%
Maine,Calais,1516,856,56.46%
Maine,Charlotte,216,145,67.13%
Maine,Cherryfield,645,417,64.65%
Maine,Columbia,228,156,68.42%
Maine,Columbia Falls,335,204,60.90%
Maine,Cooper,96,60,62.50%
Maine,Crawford,66,45,68.18%
Maine,Cutler,315,218,69.21%
Maine,Danforth,421,314,74.58%
Maine,Deblois,40,35,87.50%
Maine,Dennysville,357,214,59.94%
Maine,East Machias,814,528,64.86%
Maine,Eastport,835,339,40.60%
Maine,Grand Lake Stream Plt,98,60,61.22%
Maine,Harrington,538,363,67.47%
Maine,Jonesboro,346,212,61.27%
Maine,Jonesport,712,447,62.78%
Maine,Lubec,883,406,45.98%
Maine,Machias,893,461,51.62%
Maine,Machiasport,566,337,59.54%
Maine,Marshfield,316,208,65.82%
Maine,Meddybemps,103,70,67.96%
Maine,Milbridge,731,391,53.49%
Maine,Northfield,125,81,64.80%
