state,county,current_votes,trump_votes,percent_trump_votes
Iowa,Wapello County,15633,9516,60.87%
Iowa,Warren County,31039,17782,57.29%
Iowa,Washington County,11765,6971,59.25%
Iowa,Wayne County,3109,2338,75.20%
Iowa,Webster County,17822,10938,61.37%
Iowa,Winnebago County,5970,3707,62.09%
Iowa,Winneshiek County,12064,6235,51.68%
Iowa,Woodbury County,45362,25736,56.73%
Iowa,Worth County,4418,2738,61.97%
Iowa,Wright County,6254,4136,66.13%
Kansas,Allen County,5842,4155,71.12%
Kansas,Anderson County,3720,2874,77.26%
Kansas,Atchison County,7312,4826,66.00%
Kansas,Barber County,2313,1992,86.12%
Kansas,Barton County,10961,8480,77.37%
Kansas,Bourbon County,6550,4910,74.96%
Kansas,Brown County,4396,3206,72.93%
Kansas,Butler County,31946,22250,69.65%
Kansas,Chase County,1478,1114,75.37%
Kansas,Chautauqua County,1634,1397,85.50%
Kansas,Cherokee County,8945,6622,74.03%
Kansas,Cheyenne County,1400,1158,82.71%
Kansas,Clark County,1048,885,84.45%
Kansas,Clay County,4134,3129,75.69%
Kansas,Cloud County,4174,3182,76.23%
Kansas,Coffey County,4448,3407,76.60%
Kansas,Comanche County,904,745,82.41%
Kansas,Cowley County,13911,9442,67.87%
Kansas,Crawford County,16718,10045,60.08%
Kansas,Decatur County,1458,1232,84.50%
Kansas,Dickinson County,9246,7045,76.20%
Kansas,Doniphan County,3674,2949,80.27%
Kansas,Douglas County,57540,16737,29.09%
Kansas,Edwards County,1413,1127,79.76%
Kansas,Elk County,1347,1130,83.89%
Kansas,Ellis County,13501,9569,70.88%
Kansas,Ellsworth County,2806,2106,75.05%
Kansas,Finney County,11466,7079,61.74%
Kansas,Ford County,8850,5763,65.12%
Kansas,Franklin County,12247,8326,67.98%
Kansas,Geary County,9311,5193,55.77%
Kansas,Gove County,1433,1256,87.65%
Kansas,Graham County,1302,1052,80.80%
Kansas,Grant County,2452,1910,77.90%
Kansas,Gray County,2240,1871,83.53%
Kansas,Greeley County,629,537,85.37%
Kansas,Greenwood County,3030,2404,79.34%
Kansas,Hamilton County,837,684,81.72%
Kansas,Harper County,2626,2128,81.04%
Kansas,Harvey County,17034,10015,58.79%
Kansas,Haskell County,1383,1103,79.75%
Kansas,Hodgeman County,1033,866,83.83%
Kansas,Jackson County,6468,4435,68.57%
Kansas,Jefferson County,9581,6193,64.64%
Kansas,Jewell County,1608,1369,85.14%
Kansas,Johnson County,349386,155631,44.54%
Kansas,Kearny County,1413,1134,80.25%
Kansas,Kingman County,3929,3102,78.95%
Kansas,Kiowa County,1139,957,84.02%
Kansas,Labette County,8414,5639,67.02%
Kansas,Lane County,888,757,85.25%
Kansas,Leavenworth County,36115,21378,59.19%
